epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,737.983,1.63056,1.92198,1.76546,0.3259,0.41974,0.33361,0.15447,1.80028,nan,1.93391,0.0702586,0.0033046,0.0033046
2,1646.33,1.64623,1.90532,1.75748,0.49915,0.42973,0.40283,0.18183,nan,nan,nan,0.0401813,0.00656062,0.00656062
3,2541.97,1.65702,1.93928,1.80351,0.26339,0.36053,0.22796,0.09923,nan,nan,nan,0.0100263,0.00973899,0.00973899
4,3370.29,1.66288,1.97042,1.79568,0.22167,0.409,0.21426,0.09425,nan,nan,nan,0.00965059,0.00965059,0.00965059
5,4084.31,1.68342,1.96464,1.804,0.37006,0.36555,0.28833,0.125,nan,nan,nan,0.00953412,0.00953412,0.00953412
6,4911.79,1.6747,1.97731,1.78976,0.29238,0.39846,0.31407,0.1376,nan,nan,nan,0.00941765,0.00941765,0.00941765
7,5634.79,1.65329,1.93449,1.77106,0.47449,0.31824,0.35054,0.16229,1.81056,nan,1.94023,0.00930118,0.00930118,0.00930118
8,6455.39,1.6467,1.93032,1.7763,0.3914,0.37502,0.32358,0.14838,1.85828,nan,1.97567,0.00918471,0.00918471,0.00918471
9,7151.13,1.64927,1.90655,1.76867,0.36537,0.40162,0.31784,0.1359,1.78726,nan,1.89639,0.00906824,0.00906824,0.00906824
10,7723.56,1.62901,1.89043,1.75428,0.44807,0.39034,0.38924,0.18698,1.72256,1.90117,1.86093,0.00895176,0.00895176,0.00895176
11,8311.52,1.64212,1.90136,1.76107,0.38269,0.45364,0.39278,0.17831,1.73655,nan,1.88485,0.00883529,0.00883529,0.00883529
12,8944.22,1.64735,1.86445,1.76389,0.3193,0.46032,0.32303,0.15158,nan,nan,nan,0.00871882,0.00871882,0.00871882
13,9659.7,1.62842,1.89456,1.74316,0.35661,0.3858,0.32718,0.15503,1.80246,2.03672,1.9004,0.00860235,0.00860235,0.00860235
14,10172.2,1.61858,1.88531,1.73835,0.38528,0.47506,0.39327,0.18288,nan,nan,nan,0.00848588,0.00848588,0.00848588
15,10935.9,1.61607,1.865,1.73964,0.36618,0.31523,0.2738,0.1182,nan,nan,nan,0.00836941,0.00836941,0.00836941
16,11426.6,1.63479,1.87657,1.74284,0.50096,0.37427,0.41456,0.20672,nan,nan,nan,0.00825294,0.00825294,0.00825294
17,12121.4,1.59725,1.83742,1.72169,0.51508,0.33779,0.37746,0.18322,1.73961,1.98814,1.84134,0.00813647,0.00813647,0.00813647
18,12885.4,1.59365,1.81614,1.72699,0.31489,0.49907,0.41241,0.19963,1.66156,1.80556,1.77495,0.00802,0.00802,0.00802
19,13499.6,1.58246,1.81619,1.71903,0.45273,0.46822,0.42667,0.22064,1.65285,1.79431,1.81674,0.00790353,0.00790353,0.00790353
20,14247.1,1.57956,1.7613,1.68525,0.42649,0.49598,0.4316,0.22333,1.65281,1.81458,1.74873,0.00778706,0.00778706,0.00778706
21,14919.3,1.57445,1.75529,1.69083,0.45874,0.50684,0.47679,0.23772,1.63576,nan,1.74768,0.00767059,0.00767059,0.00767059
22,15513.5,1.57108,1.74212,1.68679,0.51305,0.45357,0.44481,0.20331,1.71647,1.83805,1.83016,0.00755412,0.00755412,0.00755412
23,16365.3,1.55948,1.76809,1.68757,0.5025,0.53011,0.49944,0.25653,1.60399,1.69418,1.72538,0.00743765,0.00743765,0.00743765
24,17135.7,1.56031,1.74601,1.68458,0.44878,0.45994,0.42565,0.21945,1.68913,1.86864,1.81863,0.00732118,0.00732118,0.00732118
25,17693.3,1.56109,1.72064,1.68106,0.44871,0.45857,0.43007,0.22089,1.6435,1.75221,1.76702,0.00720471,0.00720471,0.00720471
26,18442.5,1.55243,1.7261,1.67231,0.51268,0.47663,0.46624,0.2404,1.59403,1.67738,1.70537,0.00708824,0.00708824,0.00708824
27,19200.4,1.53541,1.69137,1.6497,0.48655,0.46968,0.48495,0.26814,1.53629,1.64054,1.68018,0.00697176,0.00697176,0.00697176
28,20020.7,1.52443,1.69836,1.64459,0.46924,0.50036,0.46037,0.24264,1.5994,1.70944,1.71327,0.00685529,0.00685529,0.00685529
29,20550.3,1.52317,1.66344,1.64884,0.52842,0.44436,0.47349,0.2425,1.64257,1.81563,1.75957,0.00673882,0.00673882,0.00673882
30,21182.2,1.51949,1.70177,1.64913,0.46811,0.46841,0.4605,0.22859,1.60573,1.72042,1.72294,0.00662235,0.00662235,0.00662235
